Date,puck1,puck2,msgs1,msgs2
11:05:12 AM,453,387,,
11:05:13 AM,453,387,,
11:05:14 AM,453,387,,
11:05:15 AM,453,387,,
11:05:16 AM,453,387,,
11:05:17 AM,453,387,,
11:05:18 AM,453,387,,
11:05:19 AM,453,387,,
11:05:20 AM,453,387,,
11:05:21 AM,453,387,,
11:05:22 AM,453,387,,
11:05:23 AM,453,387,,
11:05:24 AM,519,387,,
11:05:25 AM,1385,387,,
11:05:26 AM,337,387,,
11:05:27 AM,337,263,,200
11:05:28 AM,337,263,,
11:05:29 AM,337,263,,
11:05:30 AM,337,263,,
11:05:31 AM,337,263,,
11:05:32 AM,189,263,,
11:05:33 AM,189,153,600,
11:05:34 AM,76,62,,
11:05:35 AM,76,62,,
11:05:36 AM,76,62,,
11:05:37 AM,76,62,,
11:05:38 AM,76,14,,
11:05:39 AM,76,14,,
11:05:40 AM,76,14,,
11:05:41 AM,76,14,,
11:05:42 AM,76,14,,
11:05:43 AM,76,14,,
11:05:44 AM,76,14,,
11:05:45 AM,76,14,,
11:05:46 AM,76,14,,
11:05:47 AM,76,14,,
11:05:48 AM,76,14,,
11:05:49 AM,76,14,,
11:05:50 AM,12,14,,
11:05:51 AM,12,14,,
11:05:52 AM,12,14,,
11:05:53 AM,12,14,,
11:05:54 AM,12,14,,
11:05:55 AM,92,14,,
11:05:56 AM,261,297,800,400
11:05:57 AM,531,297,,
11:05:58 AM,629,515,,
11:05:59 AM,629,515,,
11:06:00 AM,629,515,,
11:06:01 AM,629,515,,
11:06:02 AM,629,515,,
11:06:03 AM,629,515,,
11:06:04 AM,629,515,,
11:06:05 AM,629,515,,
11:06:06 AM,629,515,,
11:06:07 AM,629,515,,
11:06:08 AM,629,515,,
11:06:09 AM,629,515,,
11:06:10 AM,629,515,,
11:06:11 AM,629,515,,
11:06:12 AM,629,515,,
11:06:13 AM,629,515,,
11:06:14 AM,629,515,,
11:06:15 AM,629,515,,
11:06:16 AM,629,515,,
11:06:17 AM,629,515,,
11:06:18 AM,629,515,,
11:06:19 AM,629,515,,
11:06:20 AM,629,515,,
11:06:21 AM,629,515,,
11:06:22 AM,629,515,,
11:06:23 AM,629,515,,
11:06:24 AM,629,515,,
11:06:25 AM,629,515,,
11:06:26 AM,629,515,,
11:06:27 AM,629,515,,
11:06:28 AM,629,515,,
11:06:29 AM,629,515,,
11:06:30 AM,629,515,,
11:06:31 AM,629,515,,
11:06:32 AM,629,515,,
11:06:33 AM,629,515,,
11:06:34 AM,629,515,,
11:06:35 AM,629,515,,
11:06:36 AM,629,717,,
11:06:37 AM,629,717,,
11:06:38 AM,629,717,,
11:06:39 AM,629,717,,
11:06:40 AM,629,717,,
11:06:41 AM,629,717,,
11:06:42 AM,629,717,,
11:06:43 AM,401,573,,
11:06:44 AM,581,505,,
11:06:45 AM,581,337,,
11:06:46 AM,633,605,,200
11:06:47 AM,127,113,600,
11:06:48 AM,62,88,,
11:06:49 AM,62,88,,
11:06:50 AM,62,88,,
11:06:51 AM,62,88,,
11:06:52 AM,62,88,,
11:06:53 AM,62,88,,
11:06:54 AM,62,88,,
11:06:55 AM,62,88,,
11:06:56 AM,62,88,,
11:06:57 AM,62,88,,
11:06:58 AM,62,88,,
11:06:59 AM,62,88,,
11:07:00 AM,62,88,800,
11:07:01 AM,183,373,,400
11:07:02 AM,183,439,,
11:07:03 AM,183,439,,
11:07:04 AM,183,439,,
11:07:05 AM,183,439,,
11:07:06 AM,183,439,,
11:07:07 AM,183,439,,
11:07:08 AM,183,439,,
11:07:09 AM,183,439,,
11:07:10 AM,183,439,,
11:07:11 AM,183,439,,
11:07:12 AM,183,439,,
11:07:13 AM,183,439,,
11:07:14 AM,183,439,,
11:07:15 AM,183,439,,
11:07:16 AM,183,439,,
11:07:17 AM,183,439,,
11:07:18 AM,183,439,,
11:07:19 AM,183,439,,
11:07:20 AM,183,439,,
11:07:21 AM,183,439,,
11:07:22 AM,183,655,,
11:07:23 AM,561,873,,
11:07:24 AM,861,1091,,
11:07:25 AM,345,603,,
11:07:26 AM,287,513,,
11:07:27 AM,167,165,600,200
11:07:28 AM,76,84,,
11:07:29 AM,76,84,,
11:07:30 AM,76,84,,
11:07:31 AM,76,84,,
11:07:32 AM,76,84,,
11:07:33 AM,76,66,,
11:07:34 AM,76,66,,
11:07:35 AM,76,66,,
11:07:36 AM,76,66,,
11:07:37 AM,76,66,,
11:07:38 AM,76,66,,
11:07:39 AM,76,66,,
11:07:40 AM,76,66,,
11:07:41 AM,76,66,,
11:07:42 AM,76,66,,
11:07:43 AM,76,66,,
11:07:44 AM,76,66,,
11:07:45 AM,48,66,,
11:07:46 AM,48,66,,
