x,y1,y2,y3,y4,y5,y6
11:12:49,4,8,,,,
11:12:50,4,8,,,,
11:12:51,4,8,,,,
11:12:52,4,8,,,,
11:12:53,4,8,,,,
11:12:54,4,8,,,,
11:12:55,4,8,,,,
11:12:56,4,8,,,,
11:12:57,4,8,,,,
11:12:58,26,8,,,,
11:12:59,26,8,,,,
11:13:00,26,8,,,,
11:13:01,26,8,,,,
11:13:02,26,4,,,,
11:13:03,26,4,,,,
11:13:04,26,4,,,,
11:13:05,375,733,,,,
11:13:06,297,733,800,,400,
11:13:07,1227,1389,,,,
11:13:08,671,589,,,,
11:13:09,671,597,,,,
11:13:10,671,559,,,,
11:13:11,671,559,,,,
11:13:12,695,559,,,,
11:13:13,725,559,,,,
11:13:14,725,513,,,,
11:13:15,727,513,,,,
11:13:16,725,513,,,,
11:13:17,735,529,,,,
11:13:18,745,499,,,,
11:13:19,739,519,,,,
11:13:20,739,505,,,,
11:13:21,739,527,,,,
11:13:22,733,515,,,,
11:13:23,743,511,,,,
11:13:24,743,511,,,,
11:13:25,707,535,,,,
11:13:26,753,535,,,,
11:13:27,753,513,,,,
11:13:28,753,479,,,,
11:13:29,743,475,,,,
11:13:30,747,465,,,,
11:13:31,743,495,,,,
11:13:32,743,485,,,,
11:13:33,773,487,,,,
11:13:34,753,487,,,,
11:13:35,741,467,,,,
11:13:36,743,487,,,,
11:13:37,743,487,,,,
11:13:38,759,495,,,,
11:13:39,759,473,,,,
11:13:40,763,483,,,,
11:13:41,767,469,,,,
11:13:42,767,469,,,,
11:13:43,741,469,,,,
11:13:44,743,463,,,,
11:13:45,743,463,,,,
11:13:46,741,455,,,,
11:13:47,765,497,,,,
11:13:48,755,473,,,,
11:13:49,735,493,,,,
11:13:50,769,493,,,,
11:13:51,745,487,,,,
11:13:52,765,455,,,,
11:13:53,755,455,,,,
11:13:54,779,481,,,,
11:13:55,767,473,,,,
11:13:56,753,487,,,,
11:13:57,781,467,,,,
11:13:58,747,481,,,,
11:13:59,765,501,,,,
11:14:00,755,501,,,,
11:14:01,783,471,,,,
11:14:02,757,467,,,,
11:14:03,757,467,,,,
11:14:04,739,489,,,,
11:14:05,763,489,,,,
11:14:06,769,475,,,,
11:14:07,767,481,,,,
11:14:08,743,485,,,,
11:14:09,753,485,,,,
11:14:10,753,479,,,,
11:14:11,771,461,,,,
11:14:12,751,479,,,,
11:14:13,751,473,,,,
11:14:14,763,481,,,,
11:14:15,765,481,,,,
11:14:16,745,477,,,,
11:14:17,761,471,,,,
11:14:18,761,471,,,,
11:14:19,779,499,,,,
11:14:20,747,455,,,,
11:14:21,747,491,,,,
